name,latitude,longitude,user_rating,category,num_user_rated,vicinity,time
Chengalpattu Fort,12.7005842,79.9777909,3.8,fort,6,"J C K Nagar, Chengalpattu",120
Chennai Fort MRTS,13.0832203,80.2827773,3.8,fort,9,"Muthuswamy Rd, Park Town, Chennai",120
Fashion Fort,12.9896011,80.2192562,5,fort,1,"Janakpuri 1st St, TN Police Housing Colony, Velachery, Chennai",120
Fort Indraprastha,12.9906001,80.2594695,4.2,fort,52,"45, Kalakshetra Rd, Sriram Nagar, Radhakrishnan Nagar, Thiruvanmiyur, Chennai",120
Fort St GEORGE Ramparts,13.0822783,80.2856072,0,fort,0,"Fort St George, Chennai",120
Fort St. George,13.0796439,80.2874492,4.2,fort,3858,"Rajaji Rd, near Legislature and Secretariat, Fort St George, Chennai",120
Kings fort mansion,13.031819,80.1420094,3.5,fort,17,"A5 gsr garden thelliyar agaram, Porur, Chennai",120
