name,latitude,longitude,user_rating,category,num_user_rated,vicinity,time
Thiru Neelakandeswarar Temple,12.9602767,80.1821367,4.5,hindu_temple,67,"Eashwaran Koil St, Anbu Nagar, Keelkattalai, Chennai",60
Thrisulanathar Thirukkovil,12.9734702,80.1658456,4.6,hindu_temple,282,"Near Tirusulam Airport, Harbour quaters, Tirusulam, Chennai",60
Tirumala Tirupati Devasthanam,13.0358333,80.2363889,4.7,hindu_temple,8945,"No 26, Venkatanarayana Rd, Parthasarathi Puram, T. Nagar, Chennai",60
TNT025 - Thiruvanmiyur Shivan Temple(Padal Petra Temple),12.984957,80.2599861,4.6,hindu_temple,31,"34, East Coast Rd, Ambedkar Nagar, Kamaraj Nagar, Thiruvanmiyur, Chennai",60
Vadapalani Murugan Temple,13.0528421,80.2135209,4.7,hindu_temple,8118,"Palani Andavar Koil St, Vadapalani, Chennai",60
Vadapalani Murugan Temple,13.0528421,80.2135209,4.7,hindu_temple,8118,"Palani Andavar Koil St, Vadapalani, Chennai",60
"Vadaranyeswarar Swamy Temple மாந்தி கோயில்,Padal Petra Temple",13.1302742,79.7746536,4.7,hindu_temple,1175,"Thiruvalangadu Rd, Thiruvalangadu",60
Varashakthi Vinayagar Temple,12.9523562,80.2363014,4.5,hindu_temple,11,"Sri Sai Nagar, Oggiyamduraipakkam",60
Velleeswarar Temple,13.0325808,80.2694909,4.7,hindu_temple,870,"25, TSV Koil Street, Sankarapuram, Mylapore, Chennai",60
Vengeeswarar Temple,13.0487893,80.2124392,4.6,hindu_temple,1247,"36, Sannadhi St, Sarvamangala Colony, Aruna Colony, Vadapalani, Chennai",60
Vigneshwara Temple,13.0263099,80.2660434,4.5,hindu_temple,2,"S Canal Bank Rd, Jeth Nagar, Mandaveli, Chennai",60
Vinayak Temple,12.9873361,80.2341772,3.3,hindu_temple,4,"Temple Rd, Indian Institute Of Technology, Chennai",60
Vyagrapureeswarar Temple,12.7154047,79.9784214,4.5,hindu_temple,54,Thirutheri R.F.,60
Yoganarasimhar Temple,12.9838859,80.2224318,4.5,hindu_temple,17,"Velachery Main Rd, Ram Nagar, Murugapakkam, Velachery, Chennai",60
